"Раздел","Инструкция"
"Назначение файла","README — как пользоваться «Библиотекой возражений и кейсов для B2B-продаж» (sales-objections-library.md и веб-интерфейс) и как поддерживать её в актуальном состоянии"
"Структура таблицы","Колонки: № — номер строки; Возражение — формулировка близко к тому, как говорит клиент; Контекст / когда возникает — этап переговоров; Ответ / аргумент — что отвечать; Кейс / цифра — реальный пример с результатом; Источник — ссылка на кейс, файл в cases/ или «личный опыт менеджера»"
"Как искать возражение","Открыть sales-objections-library.md в Obsidian, Ctrl+F и ввести ключевые слова из возражения клиента (например «бюджет», «время», «руководство»)"
"Как использовать на звонке/в КП","Найти подходящую строку, использовать готовый «Ответ/аргумент» и подкрепить его «Кейс/цифра» со ссылкой на «Источник» (можно открыть файл в cases/, если он есть)"
"Веб-интерфейс — как открыть","Открыть файл 2026-06-15-objections-library-viewer.html в браузере (двойной клик или «Открыть с помощью» → браузер). Не требует установки и интернета — все данные встроены в страницу. См. screenshots/viewer-overview.png"
"Веб-интерфейс — поиск","Ввести слово или фразу в строку поиска вверху страницы — подходящие строки автоматически раскрываются, совпадения подсвечиваются жёлтым. См. screenshots/viewer-search-budget.png"
"Веб-интерфейс — фильтр по компании","Нажать на кнопку с названием компании (например «Инвитро») — останутся только возражения, у которых есть кейс этой компании. Кнопка «Все» сбрасывает фильтр. См. screenshots/viewer-filter-invitro.png"
"Веб-интерфейс — разворачивание блоков","Клик по заголовку возражения раскрывает карточку с полями «Контекст», «Ответ/аргумент», «Кейс/цифра» и «Источник» (со ссылкой и, если есть, кнопкой «Открыть файл кейса»). Повторный клик сворачивает. См. screenshots/viewer-item-expanded.png"
"Веб-интерфейс — добавить возражение","Кнопка «+ Добавить возражение» открывает форму: заполнить поля и нажать «Добавить». Новая запись сохраняется только в браузере (localStorage) с пометкой «Добавлено вами». См. screenshots/viewer-add-modal.png и screenshots/viewer-custom-item-expanded.png"
"Веб-интерфейс — перенос новой записи в библиотеку","У записи «Добавлено вами» нажать «Скопировать как строку таблицы» — текст копируется в формате строки markdown-таблицы. Передать этот текст агенту в Claude Code для проверки и подтверждения перед внесением в sales-objections-library.md. Кнопка «Удалить» убирает черновик из браузера"
"Шаг 1 — новое возражение","Когда на звонке встречается формулировка, которой нет в таблице — описать её агенту в Claude Code своими словами"
"Шаг 2 — поиск похожего","Агент ищет похожую строку в таблице. Если похожая есть — обсуждается, дополнить существующую строку или завести новую"
"Шаг 3 — кейс и источник","Если подходящий кейс уже есть в библиотеке (личный опыт, ранее найденный материал) — агент предлагает его. Если нет — менеджер явно говорит «запусти ресёрч», и агент ищет подтверждающий кейс через researcher"
"Шаг 4 — формулировка","Агент предлагает текст строки: возражение, контекст, ответ/аргумент, кейс/цифра, источник"
"Шаг 5 — подтверждение","Менеджер подтверждает формулировку или просит скорректировать. Без подтверждения в таблицу ничего не вносится"
"Шаг 6 — запись","Агент добавляет/обновляет строку в sales-objections-library.md. При необходимости — создаёт отдельный файл кейса в cases/ (для использования в КП и презентациях)"
"Шаблон новой записи","templates/new-objection-row-template.md — формат строки + чек-лист перед добавлением (формулировка близка к клиенту, указан контекст, есть источник или задача в research-queue). В Obsidian: Settings → Templates → указать папку templates, затем Ctrl+P → Insert template"
"research-queue.md — назначение","Список открытых тем для ресёрча: что ещё нужно найти, чтобы усилить или дополнить существующие строки таблицы"
"research-queue.md — статусы","«открыто» — тема ждёт ресёрча; «частично закрыто» — часть данных уже есть, нужны дополнительные; после внесения результата задача переносится в «Архив выполненных» с датой и ссылкой на источник"
"ГЛАВНОЕ ПРАВИЛО — ресёрч только по запросу","Агент НИКОГДА не запускает ресёрч автоматически, по расписанию или в фоне. Любой запуск researcher — только после явной команды менеджера, например «запусти ресёрч по теме 2 из очереди» или «найди кейс про X»"
"Периодичность — после каждой сделки","Проверить, не возникло ли новое возражение, которого нет в таблице. Если да — пройти шаги 1-6 (обычно занимает ~1 минуту работы агента)"
"Периодичность — раз в 1-2 недели","По желанию запустить ресёрч по пункту 2 очереди («Мониторинг новых кейсов Zerocoder») — проверить, не появились ли новые кейсы, которые усилят существующие строки"
"Периодичность — раз в месяц","По желанию запустить ресёрч по пунктам 3-4 очереди (отраслевая статистика ROI, сравнение с бесплатными материалами) — для усиления аргументов №1, №4, №8, №10"
"Периодичность — по необходимости","Если в ходе сделки клиент привёл новый аргумент/контраргумент или появился новый продукт/кейс Zerocoder — в любой момент можно добавить тему в research-queue.md или сразу попросить агента найти материал"
"CSV-экспорты — назначение","exports/ содержит снимки данных для импорта в Google Таблицы: база возражений и кейсов, полное описание проекта, эта инструкция"
"CSV-экспорты — когда обновлять","После значимых изменений в таблице (новые строки, изменения статусов) — попросить агента обновить exports/2026-06-15-objections-cases-database.csv"
"CSV-экспорты — как импортировать","В Google Таблицах: Файл → Импорт → Загрузка → выбрать CSV → «Заменить лист» или «Вставить новый лист»"
"Структура папок проекта","sales-objections-library.md — основная таблица; 2026-06-15-objections-library-viewer.html — веб-интерфейс; screenshots/ — скриншоты интерфейса для USER-GUIDE; cases/ — развёрнутые кейсы; templates/ — шаблон новой записи; research-queue.md — очередь тем для ресёрча; reports/ — отчёты (ресёрч, тесты); exports/ — CSV для Google Таблиц; posts/ — черновики постов для соцсетей"
