"Неделя","День","Задача","Статус"
"1","1","Ресёрч кейсов обучения Zerocoder в открытых источниках","Готово"
"1","2","Сопоставление найденных кейсов с возражениями таблицы","Готово"
"1","3","Заполнить колонку «Кейс/цифра» для возражений №1, 2, 4, 5, 9, 10, 12","Готово"
"1","4","Добавить колонку «Источник» со ссылками","Готово"
"1","5","Оформить кейс «Инвитро» отдельным файлом в cases/ через client-case-story","Готово"
"1","6-7","Ревизия: список оставшихся пробелов (№3, 6, 7, 8, 11)","Готово"
"2","8-14","Серии коротких сессий: личные кейсы из практики, оформление через client-case-story и привязка к строкам №6, 7, 8, 11","Готово"
"3","15-16","Создать research-queue.md — список тем для регулярного поиска","Готово"
"3","17-19","Зафиксировать процесс ресёрча: только по запросу пользователя, без автоматики/расписания","Готово"
"3","20-21","Шаблон Obsidian для новой записи возражения","Готово"
"4","22-24","Прогон полного сценария на реальном новом возражении с замером времени","Готово"
"4","25-27","Оформление проекта как кейс-стори","Запланировано"
"4","28-30","Подготовка презентации результата","Запланировано"
